[DEBUG] 2019-10-15 18:56:14.850 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-15 18:56:14.857 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-15 18:56:14.862 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-15 18:56:14.943 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-15 18:56:14.945 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-15 18:56:15.199 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-15 18:56:15.201 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-15 18:56:15.209 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-15 18:56:15.472 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-15 18:56:15.490 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-15 18:56:15.491 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-15 18:56:15.507 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-15 18:56:15.669 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3bb8aabc
[DEBUG] 2019-10-15 18:56:15.669 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3bb8aabc
[DEBUG] 2019-10-15 18:56:15.669 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3bb8aabc
[DEBUG] 2019-10-15 18:56:15.669 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@57b75756
[DEBUG] 2019-10-15 18:56:15.670 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@451f87af
[DEBUG] 2019-10-15 18:56:15.670 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2e3cdec2
[DEBUG] 2019-10-15 18:56:15.671 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3fa76c61
[DEBUG] 2019-10-15 18:56:15.671 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3fa76c61
[DEBUG] 2019-10-15 18:56:15.671 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3fa76c61
[DEBUG] 2019-10-15 18:56:15.672 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7b3315a5
[DEBUG] 2019-10-15 18:56:15.673 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7b3315a5
[DEBUG] 2019-10-15 18:56:15.673 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7b3315a5
[DEBUG] 2019-10-15 18:56:15.674 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2ce45a7b
[DEBUG] 2019-10-15 18:56:15.674 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2ce45a7b
[DEBUG] 2019-10-15 18:56:15.674 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2ce45a7b
[DEBUG] 2019-10-15 18:56:15.675 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@42f9c19a
[DEBUG] 2019-10-15 18:56:15.675 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@42f9c19a
[DEBUG] 2019-10-15 18:56:15.675 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@42f9c19a
[DEBUG] 2019-10-15 18:56:15.676 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@149f5761
[DEBUG] 2019-10-15 18:56:15.676 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@149f5761
[DEBUG] 2019-10-15 18:56:15.676 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@149f5761
[DEBUG] 2019-10-15 18:56:15.677 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@333cb916
[DEBUG] 2019-10-15 18:56:15.677 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@333cb916
[DEBUG] 2019-10-15 18:56:15.677 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@333cb916
[DEBUG] 2019-10-15 18:56:15.677 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4a0df195
[DEBUG] 2019-10-15 18:56:15.677 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4a0df195
[DEBUG] 2019-10-15 18:56:15.677 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4a0df195
